,id,color_palette,delta,category_number,time_spent,number_points,correct_answer
44,14FQGehev0fgSXeFdfQm_Q_2,D3Cat10,2.10685652904151,7,6.5,11,1
45,14FQGehev0fgSXeFdfQm_Q_3,D3Cat10,1.5392947580255698,4,5.7,17,1
46,14FQGehev0fgSXeFdfQm_Q_4,D3Cat10,2.630513324476953,3,3.6,12,1
47,14FQGehev0fgSXeFdfQm_Q_5,D3Cat10,2.106491334933917,5,9.8,11,1
48,14FQGehev0fgSXeFdfQm_Q_6,D3Cat10,2.718225406533974,6,4.5,17,1
49,14FQGehev0fgSXeFdfQm_Q_7,D3Cat10,2.3734631108018918,6,5.8,12,0
50,14FQGehev0fgSXeFdfQm_Q_8,D3Cat10,1.80306739813952,8,8.0,19,1
51,14FQGehev0fgSXeFdfQm_Q_9,D3Cat10,2.926719680469656,4,6.9,12,1
52,14FQGehev0fgSXeFdfQm_Q_10,D3Cat10,1.54109898559527,10,10.3,19,1
53,14FQGehev0fgSXeFdfQm_Q_11,D3Cat10,2.8633241272259373,5,6.1,18,1
54,14FQGehev0fgSXeFdfQm_Q_12,D3Cat10,2.000348080766937,3,4.7,10,1
55,14FQGehev0fgSXeFdfQm_Q_13,D3Cat10,1.8929532857251965,7,15.1,20,1
56,14FQGehev0fgSXeFdfQm_Q_14,D3Cat10,2.6913022591634266,8,8.7,17,1
57,14FQGehev0fgSXeFdfQm_Q_15,D3Cat10,1.7469186643507155,5,5.5,19,1
58,14FQGehev0fgSXeFdfQm_Q_16,D3Cat10,2.349651773775439,3,6.7,11,1
59,14FQGehev0fgSXeFdfQm_Q_17,D3Cat10,1.7121692155147006,9,15.0,16,1
60,14FQGehev0fgSXeFdfQm_Q_18,D3Cat10,2.267701126514694,8,7.9,11,1
61,14FQGehev0fgSXeFdfQm_Q_19,D3Cat10,2.0879619171855976,3,12.9,11,0
62,14FQGehev0fgSXeFdfQm_Q_21,D3Cat10,2.127093687559486,9,15.1,11,1
63,14FQGehev0fgSXeFdfQm_Q_23,D3Cat10,1.6221770526036856,5,12.1,15,1
64,14FQGehev0fgSXeFdfQm_Q_24,D3Cat10,2.81355235307312,5,15.1,18,1
65,14FQGehev0fgSXeFdfQm_Q_25,D3Cat10,1.9192060861781248,4,4.6,10,1
66,14FQGehev0fgSXeFdfQm_Q_26,D3Cat10,2.879635330418353,7,6.7,16,1
67,14FQGehev0fgSXeFdfQm_Q_27,D3Cat10,2.205233894094978,9,10.2,13,1
68,14FQGehev0fgSXeFdfQm_Q_28,D3Cat10,2.029797966110308,6,4.9,13,1
69,14FQGehev0fgSXeFdfQm_Q_29,D3Cat10,1.5651777581776756,3,6.1,12,1
70,14FQGehev0fgSXeFdfQm_Q_30,D3Cat10,2.3390558111423747,6,4.8,12,1
71,14FQGehev0fgSXeFdfQm_Q_31,D3Cat10,2.489490035937328,3,2.9,20,1
72,14FQGehev0fgSXeFdfQm_Q_32,D3Cat10,2.826543313863888,2,10.5,12,1
73,14FQGehev0fgSXeFdfQm_Q_33,D3Cat10,2.688401488907339,8,4.7,19,1
74,14FQGehev0fgSXeFdfQm_Q_34,D3Cat10,1.6519626584484808,9,7.1,14,1
75,14FQGehev0fgSXeFdfQm_Q_35,D3Cat10,2.6335582657416943,3,7.2,12,1
76,14FQGehev0fgSXeFdfQm_Q_36,D3Cat10,1.724316723907462,2,3.9,20,1
77,14FQGehev0fgSXeFdfQm_Q_38,D3Cat10,2.5150689536131585,2,4.4,16,1
78,14FQGehev0fgSXeFdfQm_Q_39,D3Cat10,1.9703108049692828,6,15.1,12,0
79,14FQGehev0fgSXeFdfQm_Q_40,D3Cat10,1.714676771057496,9,9.0,10,0
80,14FQGehev0fgSXeFdfQm_Q_41,D3Cat10,2.1951717686665404,9,6.9,11,1
81,14FQGehev0fgSXeFdfQm_Q_42,D3Cat10,2.0980200631477874,9,6.6,20,1
82,14FQGehev0fgSXeFdfQm_Q_43,D3Cat10,2.835470333191383,8,5.8,19,1
83,14FQGehev0fgSXeFdfQm_Q_44,D3Cat10,2.5053773642900588,9,14.5,16,1
84,2cJ00yat7EjpIzcRBegX_Q_0,Tab10,2.4380239529623022,10,3.9,16,1
85,2cJ00yat7EjpIzcRBegX_Q_1,Tab10,2.016533596577011,5,4.5,18,1
86,2cJ00yat7EjpIzcRBegX_Q_2,Tab10,1.5576903814031349,10,4.5,10,1
87,2cJ00yat7EjpIzcRBegX_Q_3,Tab10,2.7606147031237,3,1.9,10,1
88,2cJ00yat7EjpIzcRBegX_Q_5,Tab10,2.5461666735065283,8,1.8,15,1
89,2cJ00yat7EjpIzcRBegX_Q_6,Tab10,2.8694638806474293,7,2.5,15,1
90,2cJ00yat7EjpIzcRBegX_Q_7,Tab10,1.6688922117374632,2,2.0,18,1
91,2cJ00yat7EjpIzcRBegX_Q_8,Tab10,1.6812023193101568,4,2.0,11,1
92,2cJ00yat7EjpIzcRBegX_Q_9,Tab10,2.229838627297876,6,3.4,18,1
93,2cJ00yat7EjpIzcRBegX_Q_10,Tab10,2.3513934073472704,5,2.2,12,1
94,2cJ00yat7EjpIzcRBegX_Q_11,Tab10,2.0407870537895527,3,2.8,15,1
95,2cJ00yat7EjpIzcRBegX_Q_13,Tab10,1.5490217195156362,7,2.8,13,1
96,2cJ00yat7EjpIzcRBegX_Q_14,Tab10,2.5973791621258604,6,1.5,13,1
97,2cJ00yat7EjpIzcRBegX_Q_15,Tab10,2.583141237447573,6,2.8,16,1
98,2cJ00yat7EjpIzcRBegX_Q_16,Tab10,2.246934895766861,10,1.7,19,1
99,2cJ00yat7EjpIzcRBegX_Q_17,Tab10,1.9825042462348532,4,1.8,12,1
100,2cJ00yat7EjpIzcRBegX_Q_18,Tab10,1.5862770400956636,9,2.3,10,1
101,2cJ00yat7EjpIzcRBegX_Q_19,Tab10,2.0391144369439136,2,2.0,19,1
102,2cJ00yat7EjpIzcRBegX_Q_20,Tab10,2.7922935613814426,10,1.7,11,1
103,2cJ00yat7EjpIzcRBegX_Q_21,Tab10,2.633444307999309,8,1.8,14,1
104,2cJ00yat7EjpIzcRBegX_Q_22,Tab10,2.178894579713,10,2.2,12,1
105,2cJ00yat7EjpIzcRBegX_Q_23,Tab10,2.5856110472918417,10,2.4,11,1
106,2cJ00yat7EjpIzcRBegX_Q_24,Tab10,2.2918595049869035,8,1.8,18,1
107,2cJ00yat7EjpIzcRBegX_Q_25,Tab10,2.54277452482609,3,2.2,17,1
108,2cJ00yat7EjpIzcRBegX_Q_26,Tab10,2.5732084369266834,6,4.4,16,1
109,2cJ00yat7EjpIzcRBegX_Q_27,Tab10,2.858201928412206,3,4.2,17,1
110,2cJ00yat7EjpIzcRBegX_Q_28,Tab10,2.2579236271928758,7,1.8,14,1
111,2cJ00yat7EjpIzcRBegX_Q_29,Tab10,1.732167620287612,4,2.8,13,1
112,2cJ00yat7EjpIzcRBegX_Q_31,Tab10,2.961308674058659,10,2.1,10,1
113,2cJ00yat7EjpIzcRBegX_Q_32,Tab10,2.5621795194433483,8,2.4,18,1
114,2cJ00yat7EjpIzcRBegX_Q_33,Tab10,2.0735378735580063,10,1.7,10,1
115,2cJ00yat7EjpIzcRBegX_Q_34,Tab10,2.464564064729503,6,2.9,17,1
116,2cJ00yat7EjpIzcRBegX_Q_35,Tab10,1.922204023405592,5,2.2,13,1
117,2cJ00yat7EjpIzcRBegX_Q_36,Tab10,2.52105474829973,8,2.9,13,1
118,2cJ00yat7EjpIzcRBegX_Q_37,Tab10,1.6473388015752484,3,1.6,13,1
119,2cJ00yat7EjpIzcRBegX_Q_38,Tab10,2.1294535536975907,6,2.2,17,1
120,2cJ00yat7EjpIzcRBegX_Q_39,Tab10,1.7457196686073022,2,2.5,19,1
121,2cJ00yat7EjpIzcRBegX_Q_40,Tab10,1.645098057688685,4,1.9,11,1
122,2cJ00yat7EjpIzcRBegX_Q_41,Tab10,1.5147516174369118,4,2.8,19,1
123,2cJ00yat7EjpIzcRBegX_Q_42,Tab10,2.276545774357792,7,1.7,14,1
124,2cJ00yat7EjpIzcRBegX_Q_43,Tab10,1.8162556676388608,3,1.8,19,1
125,2cJ00yat7EjpIzcRBegX_Q_44,Tab10,1.882813009600885,6,2.9,15,1
126,2hHoDIMARxEHQKX7fntG_Q_0,Tab10,2.4084964720042548,5,5.3,10,1
127,2hHoDIMARxEHQKX7fntG_Q_1,Tab10,1.5330026757261992,7,9.0,20,1
128,2hHoDIMARxEHQKX7fntG_Q_2,Tab10,1.9707810772797505,9,6.6,16,1
129,2hHoDIMARxEHQKX7fntG_Q_3,Tab10,2.7819436408178264,10,4.4,20,1
130,2hHoDIMARxEHQKX7fntG_Q_4,Tab10,2.034875033334859,10,7.6,19,1
131,2hHoDIMARxEHQKX7fntG_Q_5,Tab10,2.029076599812213,2,4.3,16,1
132,2hHoDIMARxEHQKX7fntG_Q_6,Tab10,2.1508044404040243,4,4.0,19,1
133,2hHoDIMARxEHQKX7fntG_Q_7,Tab10,2.5288651546026326,9,6.3,13,1
134,2hHoDIMARxEHQKX7fntG_Q_9,Tab10,2.5748734913232587,3,4.4,12,1
135,2hHoDIMARxEHQKX7fntG_Q_10,Tab10,2.7834042107854646,4,4.3,10,0
136,2hHoDIMARxEHQKX7fntG_Q_11,Tab10,2.6164113200657213,6,5.5,17,1
137,2hHoDIMARxEHQKX7fntG_Q_12,Tab10,2.0943120789726626,2,3.9,15,1
138,2hHoDIMARxEHQKX7fntG_Q_13,Tab10,2.520689158047846,9,3.8,14,1
139,2hHoDIMARxEHQKX7fntG_Q_14,Tab10,1.6051433854314157,9,5.9,11,1
140,2hHoDIMARxEHQKX7fntG_Q_15,Tab10,2.0460491059088106,6,4.2,19,1
141,2hHoDIMARxEHQKX7fntG_Q_16,Tab10,2.212815752313131,7,4.2,19,1
142,2hHoDIMARxEHQKX7fntG_Q_17,Tab10,2.6813171960691715,5,3.7,14,1
143,2hHoDIMARxEHQKX7fntG_Q_18,Tab10,2.127599919025034,7,4.5,19,1
144,2hHoDIMARxEHQKX7fntG_Q_19,Tab10,1.9436247749489288,9,4.2,16,1
145,2hHoDIMARxEHQKX7fntG_Q_20,Tab10,2.1405425428949734,8,4.3,14,1
146,2hHoDIMARxEHQKX7fntG_Q_21,Tab10,1.6133423120904578,4,4.2,16,1
147,2hHoDIMARxEHQKX7fntG_Q_22,Tab10,2.031794045978992,7,6.1,10,1
148,2hHoDIMARxEHQKX7fntG_Q_24,Tab10,1.8401406802071216,8,3.3,15,1
149,2hHoDIMARxEHQKX7fntG_Q_25,Tab10,2.6126555975851566,4,4.1,18,1
150,2hHoDIMARxEHQKX7fntG_Q_26,Tab10,2.2538116230211385,4,3.2,16,1
151,2hHoDIMARxEHQKX7fntG_Q_27,Tab10,1.6075025586063978,5,5.1,20,1
152,2hHoDIMARxEHQKX7fntG_Q_28,Tab10,2.3070074721076548,2,4.3,15,1
153,2hHoDIMARxEHQKX7fntG_Q_29,Tab10,2.5813650968849755,4,3.2,10,1
154,2hHoDIMARxEHQKX7fntG_Q_30,Tab10,1.6263043172981693,4,4.4,16,1
155,2hHoDIMARxEHQKX7fntG_Q_31,Tab10,1.5693263424122108,4,3.2,15,1
156,2hHoDIMARxEHQKX7fntG_Q_33,Tab10,1.6123058857047914,8,5.0,10,1
157,2hHoDIMARxEHQKX7fntG_Q_34,Tab10,2.8299932960076344,10,4.6,13,1
158,2hHoDIMARxEHQKX7fntG_Q_35,Tab10,2.923480530132009,7,3.1,10,1
159,2hHoDIMARxEHQKX7fntG_Q_36,Tab10,1.593948678873681,7,4.7,15,1
160,2hHoDIMARxEHQKX7fntG_Q_37,Tab10,2.573377443698164,5,3.4,13,1
161,2hHoDIMARxEHQKX7fntG_Q_38,Tab10,2.5018086566469515,6,3.3,14,1
162,2hHoDIMARxEHQKX7fntG_Q_39,Tab10,2.509277225097847,9,3.3,17,1
163,2hHoDIMARxEHQKX7fntG_Q_40,Tab10,1.6344349643199223,4,5.0,14,1
164,2hHoDIMARxEHQKX7fntG_Q_41,Tab10,2.02496269025467,7,4.5,17,1
165,2hHoDIMARxEHQKX7fntG_Q_42,Tab10,1.7111810964334655,2,3.9,14,1
166,2hHoDIMARxEHQKX7fntG_Q_43,Tab10,1.561892802842921,9,9.5,10,1
167,2hHoDIMARxEHQKX7fntG_Q_44,Tab10,2.3250680002955875,10,4.4,12,1
168,3q9oADmEatrwzfJsiNDv_Q_0,PaulTolMuted,1.6689026453268587,6,5.5,15,1
169,3q9oADmEatrwzfJsiNDv_Q_1,PaulTolMuted,2.0371410215881527,6,6.2,15,1
170,3q9oADmEatrwzfJsiNDv_Q_2,PaulTolMuted,2.828525232265615,4,4.7,19,1
171,3q9oADmEatrwzfJsiNDv_Q_3,PaulTolMuted,2.712109784947719,9,5.5,11,0
172,3q9oADmEatrwzfJsiNDv_Q_4,PaulTolMuted,2.604575034936082,9,6.1,14,1
173,3q9oADmEatrwzfJsiNDv_Q_5,PaulTolMuted,2.1453522324503416,3,4.0,13,1
174,3q9oADmEatrwzfJsiNDv_Q_6,PaulTolMuted,2.055253749369733,10,4.6,17,0
175,3q9oADmEatrwzfJsiNDv_Q_7,PaulTolMuted,2.104640476576498,8,5.8,15,1
176,3q9oADmEatrwzfJsiNDv_Q_8,PaulTolMuted,1.717815409121103,2,3.8,16,1
177,3q9oADmEatrwzfJsiNDv_Q_9,PaulTolMuted,2.8113953418263344,7,6.2,19,1
178,3q9oADmEatrwzfJsiNDv_Q_10,PaulTolMuted,2.1345610202494694,9,7.1,16,0
179,3q9oADmEatrwzfJsiNDv_Q_11,PaulTolMuted,1.819822568126649,4,4.5,13,0
180,3q9oADmEatrwzfJsiNDv_Q_12,PaulTolMuted,2.90534228413664,7,3.5,10,1
181,3q9oADmEatrwzfJsiNDv_Q_13,PaulTolMuted,2.5588822555186006,5,4.3,12,1
182,3q9oADmEatrwzfJsiNDv_Q_14,PaulTolMuted,1.5341533599051536,6,5.7,15,1
183,3q9oADmEatrwzfJsiNDv_Q_15,PaulTolMuted,1.6249212673006133,6,4.9,12,1
184,3q9oADmEatrwzfJsiNDv_Q_16,PaulTolMuted,1.5317948421674838,8,4.9,14,0
185,3q9oADmEatrwzfJsiNDv_Q_17,PaulTolMuted,2.193691577028999,5,3.1,20,1
186,3q9oADmEatrwzfJsiNDv_Q_18,PaulTolMuted,2.0874176715054653,3,2.9,19,1
187,3q9oADmEatrwzfJsiNDv_Q_19,PaulTolMuted,2.8659409739819406,3,3.5,18,1
188,3q9oADmEatrwzfJsiNDv_Q_20,PaulTolMuted,2.239485779416769,3,3.1,14,1
189,3q9oADmEatrwzfJsiNDv_Q_21,PaulTolMuted,1.556264553863361,10,5.2,17,1
190,3q9oADmEatrwzfJsiNDv_Q_22,PaulTolMuted,2.527893847557656,7,4.0,14,1
191,3q9oADmEatrwzfJsiNDv_Q_23,PaulTolMuted,1.6349186273065843,9,4.1,17,1
192,3q9oADmEatrwzfJsiNDv_Q_25,PaulTolMuted,2.231195235979324,8,4.0,17,1
193,3q9oADmEatrwzfJsiNDv_Q_26,PaulTolMuted,1.960402973275201,4,6.3,14,1
194,3q9oADmEatrwzfJsiNDv_Q_27,PaulTolMuted,2.2240959328503167,7,3.0,13,1
195,3q9oADmEatrwzfJsiNDv_Q_28,PaulTolMuted,1.5841006196478578,8,5.4,12,0
196,3q9oADmEatrwzfJsiNDv_Q_29,PaulTolMuted,2.3982853621043514,7,4.0,15,0
197,3q9oADmEatrwzfJsiNDv_Q_31,PaulTolMuted,2.088862657612056,9,5.1,18,1
198,3q9oADmEatrwzfJsiNDv_Q_32,PaulTolMuted,1.5421426951051806,5,6.2,19,1
199,3q9oADmEatrwzfJsiNDv_Q_33,PaulTolMuted,1.8894994641115237,4,3.1,10,1
200,3q9oADmEatrwzfJsiNDv_Q_34,PaulTolMuted,2.553487948846142,8,4.0,19,1
201,3q9oADmEatrwzfJsiNDv_Q_35,PaulTolMuted,2.681894341743919,3,3.4,19,1
202,3q9oADmEatrwzfJsiNDv_Q_36,PaulTolMuted,2.6569364130038364,10,4.6,18,1
203,3q9oADmEatrwzfJsiNDv_Q_37,PaulTolMuted,2.034973222419836,7,5.7,19,0
204,3q9oADmEatrwzfJsiNDv_Q_38,PaulTolMuted,2.6474276602597357,3,3.7,15,1
205,3q9oADmEatrwzfJsiNDv_Q_39,PaulTolMuted,2.200098823998683,4,3.3,10,1
206,3q9oADmEatrwzfJsiNDv_Q_40,PaulTolMuted,1.7513066631037368,3,4.5,17,1
207,3q9oADmEatrwzfJsiNDv_Q_42,PaulTolMuted,2.5867901107412914,3,4.2,13,1
208,3q9oADmEatrwzfJsiNDv_Q_43,PaulTolMuted,2.5722330997757528,7,7.8,13,1
209,3q9oADmEatrwzfJsiNDv_Q_44,PaulTolMuted,1.679804372513594,8,4.3,15,1
210,7Gxm88yfDYpT7emL7cq0_Q_0,StataS1,2.638096289979387,4,4.0,16,1
211,7Gxm88yfDYpT7emL7cq0_Q_1,StataS1,1.5814738670612627,7,3.6,10,0
212,7Gxm88yfDYpT7emL7cq0_Q_2,StataS1,2.10685652904151,7,4.1,11,0
213,7Gxm88yfDYpT7emL7cq0_Q_3,StataS1,1.5392947580255698,4,4.2,17,0
214,7Gxm88yfDYpT7emL7cq0_Q_4,StataS1,2.630513324476953,3,4.1,12,1
215,7Gxm88yfDYpT7emL7cq0_Q_5,StataS1,2.106491334933917,5,3.5,11,1
216,7Gxm88yfDYpT7emL7cq0_Q_6,StataS1,2.718225406533974,6,3.0,17,1
217,7Gxm88yfDYpT7emL7cq0_Q_7,StataS1,2.3734631108018918,6,3.8,12,1
218,7Gxm88yfDYpT7emL7cq0_Q_8,StataS1,1.80306739813952,8,3.6,19,1
219,7Gxm88yfDYpT7emL7cq0_Q_9,StataS1,2.926719680469656,4,3.0,12,1
220,7Gxm88yfDYpT7emL7cq0_Q_10,StataS1,1.54109898559527,10,4.2,19,0
221,7Gxm88yfDYpT7emL7cq0_Q_11,StataS1,2.8633241272259373,5,3.6,18,1
222,7Gxm88yfDYpT7emL7cq0_Q_12,StataS1,2.000348080766937,3,4.1,10,0
223,7Gxm88yfDYpT7emL7cq0_Q_13,StataS1,1.8929532857251965,7,7.0,20,1
224,7Gxm88yfDYpT7emL7cq0_Q_14,StataS1,2.6913022591634266,8,7.4,17,1
225,7Gxm88yfDYpT7emL7cq0_Q_15,StataS1,1.7469186643507155,5,3.8,19,1
226,7Gxm88yfDYpT7emL7cq0_Q_16,StataS1,2.349651773775439,3,4.1,11,1
227,7Gxm88yfDYpT7emL7cq0_Q_17,StataS1,1.7121692155147006,9,4.3,16,1
228,7Gxm88yfDYpT7emL7cq0_Q_18,StataS1,2.267701126514694,8,3.8,11,0
229,7Gxm88yfDYpT7emL7cq0_Q_19,StataS1,2.0879619171855976,3,7.6,11,1
230,7Gxm88yfDYpT7emL7cq0_Q_21,StataS1,2.127093687559486,9,3.8,11,0
231,7Gxm88yfDYpT7emL7cq0_Q_23,StataS1,1.6221770526036856,5,6.2,15,1
232,7Gxm88yfDYpT7emL7cq0_Q_24,StataS1,2.81355235307312,5,3.6,18,1
233,7Gxm88yfDYpT7emL7cq0_Q_25,StataS1,1.9192060861781248,4,4.1,10,1
234,7Gxm88yfDYpT7emL7cq0_Q_26,StataS1,2.879635330418353,7,4.7,16,0
235,7Gxm88yfDYpT7emL7cq0_Q_27,StataS1,2.205233894094978,9,3.4,13,1
236,7Gxm88yfDYpT7emL7cq0_Q_28,StataS1,2.029797966110308,6,3.6,13,1
237,7Gxm88yfDYpT7emL7cq0_Q_29,StataS1,1.5651777581776756,3,5.0,12,1
238,7Gxm88yfDYpT7emL7cq0_Q_30,StataS1,2.3390558111423747,6,4.0,12,1
239,7Gxm88yfDYpT7emL7cq0_Q_31,StataS1,2.489490035937328,3,3.6,20,1
240,7Gxm88yfDYpT7emL7cq0_Q_32,StataS1,2.826543313863888,2,3.3,12,1
241,7Gxm88yfDYpT7emL7cq0_Q_33,StataS1,2.688401488907339,8,4.2,19,1
242,7Gxm88yfDYpT7emL7cq0_Q_34,StataS1,1.6519626584484808,9,3.8,14,1
243,7Gxm88yfDYpT7emL7cq0_Q_35,StataS1,2.6335582657416943,3,3.5,12,1
244,7Gxm88yfDYpT7emL7cq0_Q_36,StataS1,1.724316723907462,2,3.3,20,1
245,7Gxm88yfDYpT7emL7cq0_Q_38,StataS1,2.5150689536131585,2,3.5,16,1
246,7Gxm88yfDYpT7emL7cq0_Q_39,StataS1,1.9703108049692828,6,12.3,12,1
247,7Gxm88yfDYpT7emL7cq0_Q_40,StataS1,1.714676771057496,9,9.1,10,1
248,7Gxm88yfDYpT7emL7cq0_Q_41,StataS1,2.1951717686665404,9,5.0,11,1
249,7Gxm88yfDYpT7emL7cq0_Q_42,StataS1,2.0980200631477874,9,3.5,20,1
250,7Gxm88yfDYpT7emL7cq0_Q_43,StataS1,2.835470333191383,8,3.5,19,1
251,7Gxm88yfDYpT7emL7cq0_Q_44,StataS1,2.5053773642900588,9,7.3,16,1
252,Bc7PDYQi97PPzlKs1qCU_Q_0,StataS2,1.6689026453268587,6,2.9,15,0
253,Bc7PDYQi97PPzlKs1qCU_Q_1,StataS2,2.0371410215881527,6,4.1,15,1
254,Bc7PDYQi97PPzlKs1qCU_Q_2,StataS2,2.828525232265615,4,3.5,19,1
255,Bc7PDYQi97PPzlKs1qCU_Q_3,StataS2,2.712109784947719,9,3.1,11,1
256,Bc7PDYQi97PPzlKs1qCU_Q_4,StataS2,2.604575034936082,9,4.5,14,1
257,Bc7PDYQi97PPzlKs1qCU_Q_5,StataS2,2.1453522324503416,3,2.7,13,1
258,Bc7PDYQi97PPzlKs1qCU_Q_6,StataS2,2.055253749369733,10,5.1,17,1
259,Bc7PDYQi97PPzlKs1qCU_Q_7,StataS2,2.104640476576498,8,2.4,15,1
260,Bc7PDYQi97PPzlKs1qCU_Q_8,StataS2,1.717815409121103,2,2.1,16,1
261,Bc7PDYQi97PPzlKs1qCU_Q_9,StataS2,2.8113953418263344,7,5.1,19,1
262,Bc7PDYQi97PPzlKs1qCU_Q_10,StataS2,2.1345610202494694,9,3.0,16,1
263,Bc7PDYQi97PPzlKs1qCU_Q_11,StataS2,1.819822568126649,4,6.0,13,0
264,Bc7PDYQi97PPzlKs1qCU_Q_12,StataS2,2.90534228413664,7,3.6,10,1
265,Bc7PDYQi97PPzlKs1qCU_Q_13,StataS2,2.5588822555186006,5,2.6,12,1
266,Bc7PDYQi97PPzlKs1qCU_Q_14,StataS2,1.5341533599051536,6,3.3,15,1
267,Bc7PDYQi97PPzlKs1qCU_Q_15,StataS2,1.6249212673006133,6,2.2,12,1
268,Bc7PDYQi97PPzlKs1qCU_Q_16,StataS2,1.5317948421674838,8,6.0,14,1
269,Bc7PDYQi97PPzlKs1qCU_Q_17,StataS2,2.193691577028999,5,2.2,20,1
270,Bc7PDYQi97PPzlKs1qCU_Q_18,StataS2,2.0874176715054653,3,2.3,19,1
271,Bc7PDYQi97PPzlKs1qCU_Q_19,StataS2,2.8659409739819406,3,2.4,18,1
272,Bc7PDYQi97PPzlKs1qCU_Q_20,StataS2,2.239485779416769,3,2.7,14,1
273,Bc7PDYQi97PPzlKs1qCU_Q_21,StataS2,1.556264553863361,10,3.9,17,1
274,Bc7PDYQi97PPzlKs1qCU_Q_22,StataS2,2.527893847557656,7,4.9,14,1
